candidate_id,Category,match_score,matching_skills,skill_gap
Candidate_195,DESIGNER,0.1109,r,"agile, aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_338,TEACHER,0.1079,"agile, communication, excel, r","aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_362,TEACHER,0.1075,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2243,BANKING,0.1054,"excel, r, sql","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_474,ADVOCATE,0.105,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_317,INFORMATION-TECHNOLOGY,0.1049,"communication, data analysis, r, sql","agile, aws, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_739,HEALTHCARE,0.1046,"agile, communication, r, sql","aws, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2458,AVIATION,0.1029,"agile, aws, data analysis, git, r, sql","communication, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_300,INFORMATION-TECHNOLOGY,0.1029,"agile, aws, communication, git, r, sql","data analysis, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_472,ADVOCATE,0.1026,"communication, data analysis, r, sql","agile, aws, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1628,APPAREL,0.1026,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2391,AVIATION,0.1025,"data analysis, excel, r","agile, aws, communication, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1800,ENGINEERING,0.1024,"agile, aws, git, python, r, sql","communication, data analysis, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2212,BANKING,0.1024,"communication, excel, r, sql","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1767,ENGINEERING,0.1022,"data analysis, excel, python, r","agile, aws, communication, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_244,INFORMATION-TECHNOLOGY,0.1019,"agile, r, sql","aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_753,HEALTHCARE,0.1019,"communication, data analysis, excel, r","agile, aws, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_129,DESIGNER,0.1015,"python, r, sql","agile, aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_663,BUSINESS-DEVELOPMENT,0.1006,"excel, python, r, sql","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_92,HR,0.1002,"aws, communication, excel, r, sql","agile, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_268,INFORMATION-TECHNOLOGY,0.0997,"agile, communication, excel, git, python, r, sql","aws, data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_548,ADVOCATE,0.0997,"aws, communication, excel, r, sql","agile, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1757,ENGINEERING,0.0984,"python, r, sql","agile, aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1148,CONSULTANT,0.0983,"aws, communication, excel, r, sql","agile, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_350,TEACHER,0.0982,"communication, git, r","agile, aws, data analysis, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1126,CONSULTANT,0.0981,"communication, data analysis, excel, r","agile, aws, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1128,CONSULTANT,0.0978,"communication, git, r, sql","agile, aws, data analysis, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_375,TEACHER,0.0972,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1799,ENGINEERING,0.0971,"data analysis, excel, r, sql","agile, aws, communication, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1804,ENGINEERING,0.0971,"communication, data analysis, excel, r, sql","agile, aws, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1114,CONSULTANT,0.0968,"agile, communication, data analysis, excel, git, r, sql","aws, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_295,INFORMATION-TECHNOLOGY,0.0968,"communication, excel, git, r, sql","agile, aws, data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1260,DIGITAL-MEDIA,0.0948,"agile, communication, git, machine learning, r","aws, data analysis, deep learning, excel, gcp, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_133,DESIGNER,0.0944,"data analysis, excel, git, r, sql","agile, aws, communication, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1240,DIGITAL-MEDIA,0.094,"communication, excel, git, r, sql","agile, aws, data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1116,CONSULTANT,0.0939,"agile, aws, communication, excel, r, sql","data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1765,ENGINEERING,0.0938,"machine learning, r","agile, aws, communication, data analysis, deep learning, excel, gcp, git, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_311,INFORMATION-TECHNOLOGY,0.0938,"communication, excel, r, sql","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2035,CONSTRUCTION,0.0935,"aws, communication, excel, git, r","agile, data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1499,FINANCE,0.0932,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_109,HR,0.0932,"aws, communication, data analysis, excel, r","agile, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1642,APPAREL,0.093,"data analysis, excel, git, r, sql","agile, aws, communication, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_269,INFORMATION-TECHNOLOGY,0.0921,"agile, communication, r","aws, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_477,ADVOCATE,0.0919,"excel, python, r","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_779,HEALTHCARE,0.0917,"data analysis, excel, r, sql","agile, aws, communication, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2131,PUBLIC-RELATIONS,0.0912,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2202,BANKING,0.0903,"communication, data analysis, excel, r","agile, aws, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_251,INFORMATION-TECHNOLOGY,0.0899,"communication, r, sql","agile, aws, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_708,HEALTHCARE,0.0898,"agile, communication, excel, r, sql","aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_963,AGRICULTURE,0.0893,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1659,APPAREL,0.0893,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_121,DESIGNER,0.0893,"agile, git, r, sql","aws, communication, data analysis, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_292,INFORMATION-TECHNOLOGY,0.089,"excel, python, r, sql","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2285,ARTS,0.0888,"data analysis, r","agile, aws, communication, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1792,ENGINEERING,0.0888,"data analysis, r","agile, aws, communication, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_117,DESIGNER,0.0882,"excel, r, sql","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_977,BPO,0.0882,"communication, excel, r, sql","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1331,AUTOMOBILE,0.0869,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1790,ENGINEERING,0.0867,"agile, r, sql","aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_907,FITNESS,0.0865,"excel, r","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_221,INFORMATION-TECHNOLOGY,0.0865,"data analysis, excel, r","agile, aws, communication, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_230,INFORMATION-TECHNOLOGY,0.0865,"communication, r, sql","agile, aws, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2334,ARTS,0.0863,"communication, data analysis, excel, r","agile, aws, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2317,ARTS,0.0863,"communication, excel, gcp, r","agile, aws, data analysis, deep learning, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_683,HEALTHCARE,0.0859,"communication, data analysis, excel, r","agile, aws, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1342,AUTOMOBILE,0.0859,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2111,PUBLIC-RELATIONS,0.0856,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2155,BANKING,0.0855,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2339,ARTS,0.0853,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2386,AVIATION,0.0853,"excel, python, r, sql","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_437,TEACHER,0.085,"git, r","agile, aws, communication, data analysis, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1863,ACCOUNTANT,0.0845,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_968,AGRICULTURE,0.0842,"aws, communication, excel, r","agile, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1162,CONSULTANT,0.0837,"agile, communication, data analysis, r, sql","aws, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_980,BPO,0.0834,"aws, communication, excel, r","agile, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2080,PUBLIC-RELATIONS,0.0831,"communication, r","agile, aws, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1754,ENGINEERING,0.0829,"aws, communication, excel, r","agile, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1619,APPAREL,0.0827,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_363,TEACHER,0.0818,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_296,INFORMATION-TECHNOLOGY,0.081,r,"agile, aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_231,INFORMATION-TECHNOLOGY,0.0808,"communication, data analysis, r, sql","agile, aws, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1043,SALES,0.0806,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1930,CONSTRUCTION,0.0806,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_564,BUSINESS-DEVELOPMENT,0.0805,"communication, excel, python, r, sql","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_132,DESIGNER,0.0805,"communication, excel, git, r","agile, aws, data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_584,BUSINESS-DEVELOPMENT,0.0804,"communication, excel, python, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1017,SALES,0.0804,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_155,DESIGNER,0.0804,"communication, data analysis, excel, r","agile, aws, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1196,CONSULTANT,0.0802,"agile, git, r, sql","aws, communication, data analysis, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_754,HEALTHCARE,0.0793,"data analysis, excel, r","agile, aws, communication, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1880,ACCOUNTANT,0.0793,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_234,INFORMATION-TECHNOLOGY,0.0792,"communication, data analysis, excel, r","agile, aws, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1803,ENGINEERING,0.079,"communication, excel, r, sql","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1743,ENGINEERING,0.0786,"agile, communication, r, sql","aws, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2451,AVIATION,0.0785,"aws, communication, excel, r","agile, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2267,ARTS,0.0783,"data analysis, r","agile, aws, communication, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2020,CONSTRUCTION,0.0781,r,"agile, aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1139,CONSULTANT,0.0781,"r, sql","agile, aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_684,HEALTHCARE,0.0779,"communication, git, r","agile, aws, data analysis, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_297,INFORMATION-TECHNOLOGY,0.0779,"r, sql","agile, aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1464,CHEF,0.0777,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_845,FITNESS,0.0774,"communication, excel, python, r, sql","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_987,BPO,0.0774,"excel, r, sql","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_358,TEACHER,0.0771,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1591,FINANCE,0.077,"aws, communication, excel, r","agile, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1871,ACCOUNTANT,0.0769,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1172,CONSULTANT,0.0765,"agile, aws, excel, r, sql","communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
